id_caba,Nombre,Categoria,talla,stock_actual,precio_venta
CZ-001,Botas Vans Sk8-Hi,Formal,44,89,341.58
CZ-002,Botas Timberland Botas Premium,Formal,41,37,324.89
CZ-003,Zapatilla Converse One Star,Deportivo,40,56,484.87
CZ-004,Zapatilla Timberland Botas Premium,Casual,40,72,374.02
CZ-005,Botas Reebok Club C 85,Formal,37,48,327.84
CZ-006,Zapatilla New Balance 574,Deportivo,40,58,434.61
CZ-007,Zapatilla Reebok Club C 85,Deportivo,45,86,179.92
CZ-008,Botas New Balance 574,Formal,36,61,349.07
CZ-009,Zapatilla New Balance 990,Deportivo,44,62,372.66
CZ-010,Zapatilla Nike Air Max,Deportivo,36,98,413.93
CZ-011,Zapatilla Timberland Botas Premium,Casual,46,75,154.17
CZ-012,Zapatilla Adidas Superstar,Deportivo,42,29,520.49
CZ-013,Zapatilla Puma RS-X,Deportivo,43,44,107.87
CZ-014,Botas Puma Cali,Formal,37,76,546.13
CZ-015,Zapatilla Vans Sk8-Hi,Casual,37,58,120.66
CZ-016,Botas Timberland Botas Premium,Formal,45,42,238.93
CZ-017,Zapatilla Vans Old Skool,Casual,44,26,548.96
CZ-018,Botas Vans Old Skool,Formal,42,63,480.51
CZ-019,Zapatilla Timberland Botas Premium,Casual,38,24,545.46
CZ-020,Botas Reebok Classic Leather,Formal,37,42,410.2
CZ-021,Zapatilla Reebok Classic Leather,Deportivo,42,26,275.33
CZ-022,Zapatilla Timberland Botas Premium,Casual,41,72,571.77
CZ-023,Botas New Balance 574,Formal,41,94,325.85
CZ-024,Zapatilla Reebok Classic Leather,Deportivo,42,42,387.97
CZ-025,Botas Nike Air Force 1,Formal,44,14,144.53
CZ-026,Zapatilla Vans Old Skool,Casual,40,18,104.78
CZ-027,Botas Puma Cali,Formal,39,10,462.16
CZ-028,Botas Vans Era,Formal,41,17,236.77
CZ-029,Zapatilla Adidas Stan Smith,Casual,41,80,207.06
CZ-030,Zapatilla Vans Era,Casual,45,42,305.36
CZ-031,Zapatilla Reebok Club C 85,Deportivo,44,57,127.56
CZ-032,Zapatilla Nike Air Force 1,Deportivo,45,29,431.51
CZ-033,Zapatilla Reebok Club C 85,Deportivo,41,8,349.16
CZ-034,Zapatilla Timberland Botas Classic,Deportivo,42,51,329.36
CZ-035,Zapatilla Vans Old Skool,Deportivo,37,26,185.57
CZ-036,Zapatilla Adidas Stan Smith,Casual,37,88,548.41
CZ-037,Zapatilla Vans Old Skool,Casual,38,45,401.87
CZ-038,Zapatilla Nike React Vision,Casual,44,17,119.27
CZ-039,Zapatilla Timberland Botas Classic,Deportivo,44,71,146.31
CZ-040,Zapatilla Adidas Ultraboost,Deportivo,36,44,111.5
CZ-041,Zapatilla Timberland Botas Premium,Casual,44,51,378.13
CZ-042,Zapatilla Adidas Superstar,Casual,42,21,333.73
CZ-043,Botas Vans Sk8-Hi,Formal,42,99,330.18
CZ-044,Botas Vans Sk8-Hi,Formal,44,46,457.26
CZ-045,Zapatilla New Balance 990,Deportivo,45,13,117.81
CZ-046,Botas Timberland Botas Premium,Formal,38,77,573.02
CZ-047,Zapatilla Timberland Botas Premium,Casual,42,36,537.28
CZ-048,Zapatilla Converse Chuck Taylor All Star,Casual,44,31,183.67
CZ-049,Zapatilla Adidas Stan Smith,Casual,43,100,584.66
CZ-050,Botas Converse One Star,Formal,40,65,568.29
CZ-051,Zapatilla Nike Air Max,Casual,43,45,280.85
CZ-052,Zapatilla Timberland Botas Classic,Casual,38,11,172.09
CZ-053,Zapatilla Converse One Star,Deportivo,38,45,216.18
CZ-054,Zapatilla Converse One Star,Deportivo,37,73,264.29
CZ-055,Zapatilla Adidas Stan Smith,Deportivo,38,16,496.03
CZ-056,Zapatilla Converse One Star,Casual,37,54,493.62
CZ-057,Zapatilla Adidas Superstar,Deportivo,44,37,242.31
CZ-058,Zapatilla Vans Era,Deportivo,38,73,499.26
CZ-059,Botas Vans Old Skool,Formal,37,29,547.98
CZ-060,Zapatilla Converse One Star,Deportivo,38,12,497.97
CZ-061,Zapatilla Puma Suede,Casual,38,72,563.23
CZ-062,Zapatilla Nike Air Max,Deportivo,42,91,314.66
CZ-063,Zapatilla Vans Era,Deportivo,39,85,429.33
CZ-064,Zapatilla Timberland Botas Classic,Deportivo,36,66,133.48
CZ-065,Botas Adidas Ultraboost,Formal,38,43,207.77
CZ-066,Zapatilla Converse Chuck Taylor All Star,Deportivo,42,79,418.97
CZ-067,Zapatilla Vans Era,Deportivo,40,61,376.3
CZ-068,Botas New Balance 574,Formal,36,58,332.08
CZ-069,Botas Adidas Superstar,Formal,41,36,483.09
CZ-070,Botas Vans Era,Formal,37,68,267.91
CZ-071,Zapatilla New Balance 990,Deportivo,43,34,304.54
CZ-072,Botas Vans Old Skool,Formal,43,18,188.69
CZ-073,Botas Reebok Classic Leather,Formal,43,42,236.02
CZ-074,Zapatilla Timberland Botas Premium,Deportivo,43,97,295.93
CZ-075,Zapatilla Adidas Ultraboost,Deportivo,37,13,338.59
CZ-076,Zapatilla Adidas Stan Smith,Casual,43,94,264.58
CZ-077,Zapatilla Timberland Botas Classic,Deportivo,39,56,220.25
CZ-078,Zapatilla Vans Old Skool,Casual,41,53,563.49
CZ-079,Botas Nike Air Max,Formal,46,52,255.13
CZ-080,Zapatilla Vans Old Skool,Casual,36,34,528.95
CZ-081,Zapatilla Adidas Ultraboost,Casual,38,81,382.76
CZ-082,Zapatilla Nike Air Force 1,Deportivo,46,15,428.15
CZ-083,Zapatilla Nike Air Max,Casual,37,77,197.62
CZ-084,Zapatilla Converse One Star,Deportivo,38,41,461.14
CZ-085,Botas Converse Chuck Taylor All Star,Formal,45,86,109.36
CZ-086,Botas Puma Suede,Formal,42,77,538.74
CZ-087,Botas New Balance 990,Formal,43,94,414.24
CZ-088,Zapatilla Nike React Vision,Casual,43,69,307.83
CZ-089,Botas Timberland Botas Premium,Formal,43,41,219.84
CZ-090,Zapatilla New Balance 574,Deportivo,41,38,239.74
CZ-091,Zapatilla Puma RS-X,Deportivo,41,83,534.84
CZ-092,Botas Converse One Star,Formal,44,44,507.52
CZ-093,Botas Reebok Club C 85,Formal,36,12,502.68
CZ-094,Zapatilla Nike Air Max,Casual,36,16,534.31
CZ-095,Botas Vans Old Skool,Formal,43,52,106.89
CZ-096,Botas New Balance 574,Formal,45,79,162.65
CZ-097,Botas New Balance 990,Formal,37,60,533.8
CZ-098,Zapatilla Nike Air Max,Casual,40,60,455.3
CZ-099,Zapatilla Converse Chuck Taylor All Star,Casual,36,73,136.54
CZ-100,Zapatilla Timberland Botas Classic,Deportivo,43,38,279.12
CZ-101,Zapatilla Converse One Star,Deportivo,46,58,227.32
CZ-102,Zapatilla Adidas Ultraboost,Deportivo,40,20,342.86
CZ-103,Zapatilla Vans Era,Deportivo,44,57,505.7
CZ-104,Zapatilla Vans Era,Deportivo,41,71,363.51
CZ-105,Zapatilla Reebok Club C 85,Casual,41,31,491.17
CZ-106,Zapatilla Nike Air Max,Casual,40,25,462.76
CZ-107,Zapatilla Converse Chuck Taylor All Star,Casual,37,85,103.1
CZ-108,Zapatilla Timberland Botas Classic,Deportivo,36,53,341.52
CZ-109,Botas Reebok Club C 85,Formal,43,92,170.75
CZ-110,Zapatilla Timberland Botas Premium,Deportivo,44,65,516.24
CZ-111,Botas Vans Old Skool,Formal,46,51,346.25
CZ-112,Botas Adidas Stan Smith,Formal,44,15,220.26
CZ-113,Botas Reebok Club C 85,Formal,40,91,130.34
CZ-114,Zapatilla Nike Air Force 1,Casual,44,40,592.06
CZ-115,Zapatilla Timberland Botas Premium,Casual,38,40,562.45
CZ-116,Botas Timberland Botas Premium,Formal,46,93,339.43
CZ-117,Zapatilla New Balance 990,Deportivo,40,12,595.65
CZ-118,Botas Reebok Classic Leather,Formal,45,54,204.45
CZ-119,Zapatilla Nike Air Force 1,Casual,39,76,459.26
CZ-120,Botas Timberland Botas Premium,Formal,38,70,143.94
CZ-121,Botas Timberland Botas Premium,Formal,43,71,190.62
CZ-122,Botas Nike Air Force 1,Formal,43,48,347.02
CZ-123,Zapatilla Vans Old Skool,Deportivo,46,98,498.17
CZ-124,Zapatilla Reebok Classic Leather,Casual,44,66,464.11
CZ-125,Botas Reebok Club C 85,Formal,42,72,122.92
CZ-126,Zapatilla Converse One Star,Casual,38,17,375.08
CZ-127,Zapatilla Adidas Superstar,Casual,42,45,475.29
CZ-128,Zapatilla Vans Old Skool,Deportivo,44,71,423.17
CZ-129,Zapatilla Adidas Superstar,Deportivo,38,71,322.7
CZ-130,Botas Reebok Club C 85,Formal,43,46,542.65
CZ-131,Botas Timberland Botas Classic,Formal,44,86,488.82
CZ-132,Zapatilla Nike Air Force 1,Casual,43,18,221.76
CZ-133,Botas Adidas Stan Smith,Formal,46,65,527.65
CZ-134,Zapatilla Reebok Classic Leather,Casual,45,10,500.38
CZ-135,Botas Adidas Ultraboost,Formal,39,72,499.75
CZ-136,Zapatilla Converse One Star,Deportivo,43,29,336.94
CZ-137,Botas Vans Era,Formal,42,22,251.16
CZ-138,Botas Puma Suede,Formal,39,31,383.54
CZ-139,Zapatilla Converse One Star,Casual,42,71,316.95
CZ-140,Zapatilla Timberland Botas Classic,Casual,37,77,450.68
CZ-141,Botas Nike React Vision,Formal,37,92,369.29
CZ-142,Zapatilla Converse Chuck Taylor All Star,Casual,46,48,242.05
CZ-143,Zapatilla New Balance 990,Deportivo,43,12,126.55
CZ-144,Zapatilla Reebok Classic Leather,Casual,46,85,341.81
CZ-145,Zapatilla Adidas Superstar,Casual,42,41,322.98
CZ-146,Zapatilla Vans Sk8-Hi,Deportivo,41,83,322.12
